"IS01"	"IS02"	"IS03"
"RPL41__pos"	2.22044604925031e-16	96.7148305348035	2.84384275633235
"EEF1A1__pos"	2.22044604925031e-16	22.9489664456061	67.5139419365643
"DUSP4__pos"	76.6512504428806	0.654222522762781	54.0955193998436
"RPS8__pos"	2.22044604925031e-16	21.086769069118	65.4396585526109
"RPS18__pos"	2.22044604925031e-16	66.3131456715398	23.8405314376866
"RAB11FIP1__pos"	67.3070218400695	3.59846912794939	58.2228642252823
"NR4A1__pos"	20.5613902776204	2.22044604925031e-16	84.7679158989898
"RPS15A__pos"	2.22044604925031e-16	64.7236460734837	27.2457462897379
"FCRL4__pos"	87.0212995979003	2.22044604925031e-16	2.22044604925031e-16
"RPS27A__pos"	2.22044604925031e-16	20.7491964057442	63.3751787321157
"RPS15__pos"	2.22044604925031e-16	68.8417239267553	25.3376636047347
"UBC__pos"	28.0125448678604	2.22044604925031e-16	54.2981986341913
"CD55__pos"	11.3016606493195	0.531637911583803	89.1877490644829
"RPL11__pos"	2.22044604925031e-16	67.9919690802659	24.9548008919722
"COTL1__pos"	59.3593097096889	15.7154360488161	44.826156455038
"CREM__pos"	22.303148446125	2.22044604925031e-16	86.8847792425673
"RPL36__pos"	2.22044604925031e-16	62.8237855877743	22.9834503460347
"MYO1E__pos"	75.2414863285988	0.0281562173898357	30.7070125107314
"CD83__pos"	15.5470626338292	2.22044604925031e-16	79.471547940169
"RPL19__pos"	2.22044604925031e-16	62.4164021611549	30.2278745564016
"BCAR3__pos"	68.3782526290294	2.22044604925031e-16	19.4446670610346
"RPL21__pos"	8.100242914946	2.18407031137031	65.0304788410993
"RPL28__pos"	4.09963029454212	67.7076407539279	24.8953929412852
"ZNF296__pos"	61.0035045140242	7.26660632370224	39.4824230338937
"CCR7__pos"	9.61447668322346	3.43296476769037	96.3144405037528
"RPLP1__pos"	2.22044604925031e-16	61.0912787045565	34.7046549428952
"BRD2__pos"	43.8834112653786	11.4953352361796	63.6516938642871
"RPS20__pos"	14.2201478229408	2.41628613229808	76.7045861357716
"RPL39__pos"	2.22044604925031e-16	60.8929972720519	23.964872557154
"RFTN1__pos"	76.2056727071986	9.90093229708515	45.1296005019038
"EZR__pos"	19.0980609377372	2.22044604925031e-16	70.0066432006889
"PSMB9__pos"	32.7782455470173	71.8838790202196	12.3432819572523
"HSH2D__pos"	71.055404934399	46.7602298856353	17.0234491470875
"EIF1__pos"	10.9321426240313	2.22044604925031e-16	75.459804169198
"TXNIP__pos"	19.4175691377042	84.8884794249364	22.1917980308171
"ARPC1B__pos"	65.8836027527904	17.7803643654218	48.7645578648752
"RPL13A__pos"	9.08176245116159	3.87265434627842	66.1451364910557
"RPS3__pos"	2.22044604925031e-16	57.2034290079081	31.4496164706054
"G3BP2__pos"	54.6097376707136	12.5438369882459	61.50995826191
"TPT1__pos"	2.22044604925031e-16	14.710771978584	63.8901623058318
"RPL18A__pos"	2.22044604925031e-16	59.4982056877902	32.3635757076664
"NAB2__pos"	56.9456931448876	2.22044604925031e-16	43.6265945909093
"RPSA__pos"	2.6725395769856	13.3626335953148	60.1791426774058
"RPS19__pos"	2.22044604925031e-16	58.1509935637069	29.2563109379497
"ADGRE5__pos"	33.4030411101714	2.67654116369637	81.0989408977743
"RPS3A__pos"	2.22044604925031e-16	31.3151426525154	56.1368664278544
"RPS23__pos"	2.22044604925031e-16	53.497276943254	36.7574509946558
"PCBP1__pos"	36.5081113424471	3.09442043449375	69.6970674469298
"VPS37B__pos"	6.22868692524485	1.34920108616212	101.459272319635
