"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"FCRL4"	"FCRL4"	0.75464710104974	-0.115513727264233	-0.378030292066666	"S01"	0.75464710104974	"IS01"
"ACY3"	"ACY3"	0.689626174469224	-0.0628440204689518	-0.382164519342401	"S01"	0.689626174469224	"IS01"
"DUSP4"	"DUSP4"	0.652492186786874	-0.515819726349286	0.0305517849670142	"S01"	0.652492186786874	"IS01"
"MYO1E"	"MYO1E"	0.648775019106804	-0.381891213193366	-0.082178550958153	"S01"	0.648775019106804	"IS01"
"MYBL1"	"MYBL1"	0.60234254427752	-0.135323239695264	-0.26468111107319	"S01"	0.60234254427752	"IS01"
"ARPC1B"	"ARPC1B"	0.600114907954075	-0.363320439015415	-0.0673600964730933	"S01"	0.600114907954075	"IS01"
"ELL3"	"ELL3"	0.599707907037488	-0.0724878030993955	-0.317007663537526	"S01"	0.599707907037488	"IS01"
"RAB11FIP1"	"RAB11FIP1"	0.594224891813111	-0.527950623845224	0.0778276062172265	"S01"	0.594224891813111	"IS01"
"SERPINA9"	"SERPINA9"	0.592541568326241	-0.180210241694745	-0.219912089077288	"S01"	0.592541568326241	"IS01"
"RFTN1"	"RFTN1"	0.590291731677038	-0.366419590791292	-0.058484255185632	"S01"	0.590291731677038	"IS01"
"COTL1"	"COTL1"	0.576027318710555	-0.43486106399988	0.00934748619292525	"S01"	0.576027318710555	"IS01"
"TERF2IP"	"TERF2IP"	0.570945005153445	-0.104725426091571	-0.271115162581552	"S01"	0.570945005153445	"IS01"
"AICDA"	"AICDA"	0.568966776512965	-0.0463502177303051	-0.320024311784122	"S01"	0.568966776512965	"IS01"
"BCAR3"	"BCAR3"	0.557906694491191	-0.278768356079348	-0.113318281122852	"S01"	0.557906694491191	"IS01"
"ACTB"	"ACTB"	0.54235128550288	0.382323235128193	-0.671538970958537	"S01"	0.54235128550288	"IS01"
"CAMK2B"	"CAMK2B"	0.537405793586865	-0.15833982517698	-0.203833298306806	"S01"	0.537405793586865	"IS01"
"TERF2"	"TERF2"	0.532001519633334	-0.128502161271952	-0.226054016303489	"S01"	0.532001519633334	"IS01"
"TOX"	"TOX"	0.528743447661024	-0.00903975000403133	-0.326644366272158	"S01"	0.528743447661024	"IS01"
"HSH2D"	"HSH2D"	0.518964409832239	0.107889608304703	-0.420933843234777	"S01"	0.518964409832239	"IS01"
"ARPC2"	"ARPC2"	0.510482711127771	-0.00719786198187665	-0.316677767227443	"S01"	0.510482711127771	"IS01"
"CTSH"	"CTSH"	0.508934709739723	0.207749364832629	-0.500397316516455	"S01"	0.508934709739723	"IS01"
"ZNF296"	"ZNF296"	0.502081293593363	-0.282739502924258	-0.0745983368641716	"S01"	0.502081293593363	"IS01"
"POU2F2"	"POU2F2"	0.497307721609079	-0.00254473708122673	-0.312343351048172	"S01"	0.497307721609079	"IS01"
"TCL1A"	"TCL1A"	0.493405555813977	-0.251055611305162	-0.0963363826942672	"S01"	0.493405555813977	"IS01"
"HTR3A"	"HTR3A"	0.490620899267104	-0.209782100222315	-0.130040446786424	"S01"	0.490620899267104	"IS01"
"LIMK1"	"LIMK1"	0.482442423379259	-0.0405303464770987	-0.270301508539522	"S01"	0.482442423379259	"IS01"
"CD86"	"CD86"	0.477231527989584	-0.016877929900554	-0.287329708345206	"S01"	0.477231527989584	"IS01"
"TRABD"	"TRABD"	0.477116855477075	-0.119617926951496	-0.198975352971214	"S01"	0.477116855477075	"IS01"
"POU2AF1"	"POU2AF1"	0.477034022942175	-0.118278917173706	-0.200073540808519	"S01"	0.477034022942175	"IS01"
"RABGAP1L"	"RABGAP1L"	0.468295534942116	-0.0204256622957524	-0.278629526091074	"S01"	0.468295534942116	"IS01"
"NEIL1"	"NEIL1"	0.46681703921335	-0.33319388634287	-0.00894076245981778	"S01"	0.46681703921335	"IS01"
"DTX1"	"DTX1"	0.45669601756952	-0.138240069030716	-0.170058351193322	"S01"	0.45669601756952	"IS01"
"UBR7"	"UBR7"	0.45414892254002	-0.156547369931329	-0.152716410086231	"S01"	0.45414892254002	"IS01"
"HMGA1"	"HMGA1"	0.450639792744145	-0.235713669879701	-0.0824714473441554	"S01"	0.450639792744145	"IS01"
"NSF"	"NSF"	0.449971884827468	-0.272451934042306	-0.0504807760118072	"S01"	0.449971884827468	"IS01"
