"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"TYMS__pos"	2.22044604925031e-16	2.22044604925031e-16	295.044715287076	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"RPS10__pos"	2.22044604925031e-16	43.8525325914607	0.864024274801155	31.549260635281	196.9226674787	2.22044604925031e-16
"RPL41__pos"	2.22044604925031e-16	38.1768282102658	2.22044604925031e-16	2.22044604925031e-16	15.4837505302013	131.672968684021
"DUSP4__pos"	73.1134586715945	19.0052577990657	4.22387904727062	109.99593847537	60.479696069941	2.22044604925031e-16
"CREM__pos"	20.8069715071576	29.5080574260031	2.22044604925031e-16	134.749426727207	92.8423706201769	2.22044604925031e-16
"GPR25__pos"	70.3349907897789	2.22044604925031e-16	42.1067965227074	7.62138487794983	2.22044604925031e-16	100.100272375815
"UBE2C__pos"	2.22044604925031e-16	2.22044604925031e-16	235.036608153005	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"PSMA2__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	202.808307278142	2.22044604925031e-16
"RPS15A__pos"	2.22044604925031e-16	112.639276140547	2.22044604925031e-16	2.77053541982079	8.62899477354043	63.3461124130331
"UBC__pos"	55.4401057525914	15.8115756607253	2.22044604925031e-16	99.1767068129512	28.7883262836958	2.22044604925031e-16
"RPS27A__pos"	3.09131145038309e-08	136.145496645334	2.22044604925031e-16	35.0320607460707	8.97003466615551	6.74026581765894
"IL17A__pos"	14.7286773095607	2.22044604925031e-16	11.4135954525743	2.22044604925031e-16	2.22044604925031e-16	82.6953845701769
"CDK1__pos"	2.22044604925031e-16	2.22044604925031e-16	236.07392355689	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"RPS17__pos"	2.1356484192986	29.7191419209817	0.178837961644798	73.943022516919	177.913710096885	2.22044604925031e-16
"RPL28__pos"	2.22044604925031e-16	118.008992732079	2.22044604925031e-16	12.0656923677939	2.22044604925031e-16	55.855172695272
"RPS14__pos"	2.22044604925031e-16	128.01450560983	2.22044604925031e-16	20.679003156095	32.5203588785426	2.22044604925031e-16
"LAYN__pos"	194.877600732895	2.22044604925031e-16	15.6571084581711	23.8685513923306	2.22044604925031e-16	2.22044604925031e-16
"SH3BGRL3__pos"	27.2535054212393	2.22044604925031e-16	8.90419264797663	8.24435796214053	21.7717639280929	101.016525495496
"MKI67__pos"	2.22044604925031e-16	2.22044604925031e-16	261.313117911158	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"NDUFB8__pos"	2.22044604925031e-16	2.22044604925031e-16	3.72134685004176	2.22044604925031e-16	221.483405608905	2.22044604925031e-16
"RPL30__pos"	2.22044604925031e-16	108.994170707417	2.22044604925031e-16	9.69444927439174	2.22044604925031e-16	55.3257887922357
"FAM177A1__pos"	38.961344591121	96.8883268861161	14.1986521875736	86.2234504347531	33.6196647253362	2.05321740912575
"IL2RG__pos"	33.7808897780515	24.7147800595557	2.22044604925031e-16	136.389173599453	88.9262019459941	2.22044604925031e-16
"IFNG__pos"	78.1637194168699	2.22044604925031e-16	25.7696563668538	26.513188826539	34.7082250558228	96.9055376390726
"BIRC5__pos"	2.22044604925031e-16	2.22044604925031e-16	213.226380484942	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"RPL27A__pos"	3.11420613823556e-06	52.6469076847429	3.24983061727755	33.4203336986519	137.608496872652	4.35412395055343
"RPS12__pos"	2.22044604925031e-16	132.201349089376	2.22044604925031e-16	7.10993068339533	2.22044604925031e-16	40.5282718753867
"YPEL5__pos"	35.3740612677349	84.1126895989833	2.22044604925031e-16	81.9046921751581	66.4743008352808	2.22044604925031e-16
"KRT86__pos"	192.950239953357	2.22044604925031e-16	21.4902073185031	2.22044604925031e-16	7.12117106938996	2.22044604925031e-16
"ALOX5AP__pos"	69.5014689402626	2.22044604925031e-16	13.350230292819	29.539324474426	30.4821599768787	80.2637133993788
"ASF1B__pos"	2.22044604925031e-16	2.22044604925031e-16	244.405695085718	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"RPS20__pos"	9.42585403635773	47.9775781014417	5.67880137098811	68.5924646671202	135.900106500249	2.22044604925031e-16
