"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"UBE2C"	"UBE2C"	-0.278053319060784	-0.324947278397818	2.42542811287296	-0.333626211635692	-0.300129670262952	-0.381564453110884	"S01"	2.42542811287296	"IS03"
"TYMS"	"TYMS"	-0.235138266221825	-0.452212675496397	2.29248750832136	-0.288374406090976	-0.189397510214691	-0.347369643158436	"S01"	2.29248750832136	"IS03"
"MKI67"	"MKI67"	-0.286099713235845	-0.366840343411615	2.19618885133458	-0.283823156699439	-0.267818758664641	-0.286763950403124	"S01"	2.19618885133458	"IS03"
"CDK1"	"CDK1"	-0.287615152773822	-0.355819480790778	2.17699368803919	-0.253217786420896	-0.238743545654765	-0.322444149708262	"S01"	2.17699368803919	"IS03"
"TOP2A"	"TOP2A"	-0.202639852258374	-0.324563571936089	2.12752329731673	-0.212667705315156	-0.30055955130017	-0.338042404767402	"S01"	2.12752329731673	"IS03"
"BIRC5"	"BIRC5"	-0.271316601523971	-0.317641631977943	2.12330971473667	-0.303181603963819	-0.241614817196885	-0.305641915253221	"S01"	2.12330971473667	"IS03"
"ZWINT"	"ZWINT"	-0.267777389146686	-0.320615227597224	2.07344067168435	-0.293014194785059	-0.167038027163402	-0.341538141897327	"S01"	2.07344067168435	"IS03"
"ASPM"	"ASPM"	-0.235085177470821	-0.306414620633678	2.05818274526474	-0.235094608995416	-0.254975654300107	-0.325551001562332	"S01"	2.05818274526474	"IS03"
"NUSAP1"	"NUSAP1"	-0.147206172655457	-0.367328707661484	2.05102142538254	-0.199570166314082	-0.154183086938964	-0.410066801204493	"S01"	2.05102142538254	"IS03"
"ASF1B"	"ASF1B"	-0.216465091189567	-0.357798114557341	2.04243995358003	-0.233178518515461	-0.215052901678008	-0.318406792151889	"S01"	2.04243995358003	"IS03"
"GTSE1"	"GTSE1"	-0.244647614503008	-0.28713411323401	2.03938356677992	-0.253266200104098	-0.263348311359907	-0.311162342828778	"S01"	2.03938356677992	"IS03"
"CCNA2"	"CCNA2"	-0.246162683294126	-0.29798726908807	2.0195094795749	-0.265227013501931	-0.224840805904644	-0.314999336375344	"S01"	2.0195094795749	"IS03"
"CDKN3"	"CDKN3"	-0.199829514016685	-0.337899448686944	2.01415377041268	-0.258447367441067	-0.253195115139578	-0.286762682522953	"S01"	2.01415377041268	"IS03"
"RRM2"	"RRM2"	-0.242883619863067	-0.278270880859109	2.00079175633314	-0.266241752418518	-0.210236614924233	-0.332790658809361	"S01"	2.00079175633314	"IS03"
"CDCA8"	"CDCA8"	-0.219546312385306	-0.253574830202662	1.96222637198056	-0.278665256638204	-0.272435196431336	-0.291962657912256	"S01"	1.96222637198056	"IS03"
"CENPF"	"CENPF"	-0.234167355698661	-0.28995453259652	1.93002261477262	-0.136549023194827	-0.292490844821601	-0.300760115274442	"S01"	1.93002261477262	"IS03"
"AURKB"	"AURKB"	-0.217811634404067	-0.275925177916596	1.92726613731243	-0.257105337609625	-0.241540941644474	-0.293152129111436	"S01"	1.92726613731243	"IS03"
"SPC25"	"SPC25"	-0.231185988022688	-0.253710788163291	1.89650462694261	-0.246778292389876	-0.2401538559665	-0.29537644286093	"S01"	1.89650462694261	"IS03"
"TK1"	"TK1"	-0.0993545268610333	-0.349158555048895	1.82401365665895	-0.246285611111853	-0.138640558822198	-0.325992863923856	"S01"	1.82401365665895	"IS03"
"MAD2L1"	"MAD2L1"	-0.221425710772229	-0.338144071677028	1.75988097587747	-0.230318108661637	-0.218275151896151	-0.195918205450227	"S01"	1.75988097587747	"IS03"
"DLGAP5"	"DLGAP5"	-0.196523805930177	-0.249288517471631	1.74225749547549	-0.230618359624668	-0.200415145603345	-0.27943956648015	"S01"	1.74225749547549	"IS03"
"CENPM"	"CENPM"	-0.0550798521546424	-0.399875612261282	1.65828700675806	-0.170522829284599	-0.109581782492295	-0.2903221625462	"S01"	1.65828700675806	"IS03"
"NCAPG"	"NCAPG"	-0.215532956237343	-0.254155139829095	1.63324552822421	-0.192939579204526	-0.178751396258573	-0.250425420399158	"S01"	1.63324552822421	"IS03"
