"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"KRT86"	"KRT86"	0.944966710887988	-0.348219346441209	0.0187176087356234	0.133913735983029	0.123765202643025	-0.351446162346143	"IS01"	0.944966710887988
"LAYN"	"LAYN"	0.934212127558187	-0.516997498246781	-0.00612449481440158	0.325434706341839	-0.00960511305277518	-0.207541920647736	"IS01"	0.934212127558187
"TNFRSF9"	"TNFRSF9"	0.902685146025279	-0.459533570272929	0.035667850130731	0.185113747260558	0.0401316004636476	-0.220244294678951	"IS01"	0.902685146025279
"CSF1"	"CSF1"	0.806523038269317	-0.4723063425361	0.0380990760959966	-0.0337237942649007	0.0649539554221941	-0.071906293509225	"IS01"	0.806523038269317
"KIR2DL4"	"KIR2DL4"	0.756197263797305	-0.34762535303834	0.33652753964258	0.0362424919876871	-0.0773985284122343	-0.215288952947645	"IS01"	0.756197263797305
"CXCL13"	"CXCL13"	0.755960399891089	-0.887850735782812	0.297904435663428	0.148394007646267	0.117996633564348	0.00976738052129474	"IS01"	0.755960399891089
"PHLDA1"	"PHLDA1"	0.678126394122898	-0.579832016509851	0.239700008758271	-0.0313228469345295	0.111653451933271	-0.0614010157250554	"IS01"	0.678126394122898
"GEM"	"GEM"	0.671222490545197	-0.313452916920666	0.22739133737483	0.190875703108319	-0.0156841483147901	-0.274365180952231	"IS01"	0.671222490545197
"JUN"	"JUN"	0.624758315783021	0.0542784648190841	-0.140753102358942	0.296232982642232	-0.447038813562845	-0.0923606188153925	"IS01"	0.624758315783021
"TNFRSF18"	"TNFRSF18"	0.596290798823073	-0.338929697954495	0.211167687186313	-0.0464178763478089	0.15936421533007	-0.218669538503272	"IS01"	0.596290798823073
"CXCR6"	"CXCR6"	0.595498959727362	-0.687248768500614	-0.238078471415268	0.515383646763507	0.110111211106362	0.00490746844736866	"IS01"	0.595498959727362
"ADGRG1"	"ADGRG1"	0.567697304379558	-0.309006536958263	0.0390591257308571	0.0953706795558764	-0.00350519020530463	-0.0992767048393837	"IS01"	0.567697304379558
"VCAM1"	"VCAM1"	0.564689013047316	-0.457921599747588	-0.0491431947561664	0.362198764101813	0.321827261585662	-0.320467368391937	"IS01"	0.564689013047316
"LRRN3"	"LRRN3"	0.559244212440741	-0.339283242992541	0.0111442728752664	0.472260033992636	-0.00823277785563413	-0.24989520991702	"IS01"	0.559244212440741
"TIGIT"	"TIGIT"	0.557366381825342	-0.711547756689912	-0.162658838393253	0.311152332276406	0.294077196219254	-0.0247361963181408	"IS01"	0.557366381825342
"CD7"	"CD7"	0.555438867453563	-0.42257508124583	-0.0336638713930331	0.161572306699922	-0.179049387671549	0.121964895139881	"IS01"	0.555438867453563
"GZMB"	"GZMB"	0.541713478634552	-1.34700298601244	0.255521794090211	0.0601302698500694	0.505024418750234	0.238451273426045	"IS01"	0.541713478634552
"KLRC1"	"KLRC1"	0.501064799918581	-0.229629550079428	0.453058971487392	-0.0764272462179743	-0.1691119659897	-0.113881177616968	"IS01"	0.501064799918581
"AKAP5"	"AKAP5"	0.490492719541575	-0.279337966104877	0.0272128102039556	0.252557582676398	0.0837848904810117	-0.224932329360922	"IS01"	0.490492719541575
"ACP5"	"ACP5"	0.485204598311415	-0.704608201235082	0.0874175050632088	0.0728386088815861	-0.0365090031142555	0.251541287194965	"IS01"	0.485204598311415
"AFAP1L2"	"AFAP1L2"	0.477530005378913	-0.283426153886287	0.102993495599492	-0.0266992837417696	-0.0591130481676244	-0.00259180309977772	"IS01"	0.477530005378913
"TOB1"	"TOB1"	0.475405620504277	-0.0617490052895951	-0.187487660011006	0.368953486424655	-0.000661524772974264	-0.278165559437375	"IS01"	0.475405620504277
"DNAJA1"	"DNAJA1"	0.466850653592209	0.093914130757597	-0.099102615613098	0.255363588407703	0.262441472625644	-0.568878552690018	"IS01"	0.466850653592209
"REG4"	"REG4"	0.44883960067242	-0.136257116534161	-0.0585172628253418	0.0370884982880071	0.0139147704511777	-0.11026011053959	"IS01"	0.44883960067242
"PRF1"	"PRF1"	0.442406790643644	-0.640841251692642	-0.0121809314017129	0.197137963609342	0.157713203732761	0.0637643030549728	"IS01"	0.442406790643644
"GATA3"	"GATA3"	0.442347815062955	-0.0390321684713786	-0.0339386119428769	0.150741313679866	0.0485320852877535	-0.27638977104076	"IS01"	0.442347815062955
"FNDC9"	"FNDC9"	0.432473544506782	-0.117386423322015	0.0587807403884518	-0.0336024711319778	-0.015517116574708	-0.114378594369688	"IS01"	0.432473544506782
"HAVCR2"	"HAVCR2"	0.429094274076925	-0.66176618407887	0.132390904723098	0.170829846749872	0.373946220238743	-0.1283931284902	"IS01"	0.429094274076925
"ITGAE"	"ITGAE"	0.420706924371643	-0.607736600432416	0.308579898135299	0.406028756607531	-0.294989838919143	0.122380326753856	"IS01"	0.420706924371643
