"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"CCL21"	"CCL21"	-0.409717353490966	-0.441510059648396	3.00692326023657	-0.423783336330348	-0.345772930905021	-0.393424276916874	"S01"	3.00692326023657	"IS03"
"TFF3"	"TFF3"	-0.362019946313391	-0.470091623760542	2.90204302126678	-0.329339268288566	-0.362412992702573	-0.424276669074744	"S01"	2.90204302126678	"IS03"
"PROX1"	"PROX1"	-0.327348773606478	-0.399751563226571	2.41574766526406	-0.346468760241253	-0.317010041537729	-0.215442157888519	"S01"	2.41574766526406	"IS03"
"EFEMP1"	"EFEMP1"	-0.217240386614992	-0.487664604780123	2.41422199589395	-0.35644610894562	-0.220716158185185	-0.301580440537533	"S01"	2.41422199589395	"IS03"
"RELN"	"RELN"	-0.306740521431412	-0.324539167660457	2.25004071863165	-0.304518348089905	-0.281966007559927	-0.295629538734488	"S01"	2.25004071863165	"IS03"
"TFPI"	"TFPI"	-0.258139128046831	-0.45966270685019	1.97504503145834	-0.455151826604472	-0.369880476199763	0.28496014649015	"S01"	1.97504503145834	"IS03"
"MMRN1"	"MMRN1"	-0.177843458778863	-0.670087500451018	1.9188677465163	-0.533559825459915	-0.337587425395694	0.576153791948591	"S01"	1.9188677465163	"IS03"
"ACKR2"	"ACKR2"	-0.25944164123342	-0.267455730593793	1.91718753374488	-0.267205762770502	-0.243953936748962	-0.254504869687657	"S01"	1.91718753374488	"IS03"
"SEMA3A"	"SEMA3A"	-0.209778618314873	-0.324043408926387	1.8487980541276	-0.285128646863489	-0.228054068793293	-0.179641456866341	"S01"	1.8487980541276	"IS03"
"AKAP12"	"AKAP12"	-0.332529347117128	-0.415365321019674	1.76455529158812	-0.182496925043891	-0.313719164402551	0.115751449104694	"S01"	1.76455529158812	"IS03"
"EFNA5"	"EFNA5"	-0.22615584496847	-0.252158120058299	1.70347615344534	-0.228266499305064	-0.204361890443241	-0.233027107283861	"S01"	1.70347615344534	"IS03"
"TBX1"	"TBX1"	-0.216904021584142	-0.204942521477749	1.6205648371346	-0.237120026454488	-0.246850352966492	-0.197806945003003	"S01"	1.6205648371346	"IS03"
"DKK3"	"DKK3"	-0.356297495839664	-0.0161362159793966	1.6035653144444	-0.216614531804681	-0.27380997313712	-0.273075430307338	"S01"	1.6035653144444	"IS03"
"PARD6G"	"PARD6G"	-0.190311364731463	-0.249618249425783	1.59508209614104	-0.21490798502994	-0.182746795149511	-0.231960879699132	"S01"	1.59508209614104	"IS03"
"MFAP2"	"MFAP2"	-0.475804369441388	0.114031855472816	1.54204989856471	0.171485559387613	-0.422857380683912	-0.564426211787748	"S01"	1.54204989856471	"IS03"
"CCDC80"	"CCDC80"	-0.268476753358398	-0.122785931753509	1.50730312683215	-0.0625192893266104	-0.326046033218618	-0.288123925739154	"S01"	1.50730312683215	"IS03"
"RBP1"	"RBP1"	-0.272626834998528	-0.223785257740657	1.48607725546697	0.00792266533861971	-0.245105394245172	-0.281518657638088	"S01"	1.48607725546697	"IS03"
"APOD"	"APOD"	-0.297916896436674	-0.294703689266569	1.45018263722821	-0.198987874048031	-0.142343101896567	0.0137182268072608	"S01"	1.45018263722821	"IS03"
"MSMP"	"MSMP"	-0.211863570936037	-0.179299117444098	1.44372567643649	-0.196063825492239	-0.177710947302998	-0.213015619494628	"S01"	1.44372567643649	"IS03"
"KLHL4"	"KLHL4"	-0.195933714436435	-0.185876268014993	1.44008528227896	-0.194619918769058	-0.18613420851107	-0.214575255840519	"S01"	1.44008528227896	"IS03"
"FABP4"	"FABP4"	-0.110929434852054	-0.208971476538842	1.43314258214005	-0.198598250846468	-0.178454386243401	-0.282310194470371	"S01"	1.43314258214005	"IS03"
"PDE1A"	"PDE1A"	-0.189987447994471	-0.194590131215593	1.41365826359475	-0.202674443121893	-0.192211898122975	-0.175452381977732	"S01"	1.41365826359475	"IS03"
