"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"CES1__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	63.7943586613186	2.22044604925031e-16
"SPRR3__pos"	3.21912116786773	60.0409668421195	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"NTS__pos"	66.6961057023159	0.635615658752459	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"MAGEA4__pos"	2.22044604925031e-16	0.28405097157684	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	53.0571302053496
"IL1R2__pos"	2.22044604925031e-16	0.14383721555964	61.3243199958785	2.22044604925031e-16	2.22044604925031e-16	3.82751204192631
"DSG3__pos"	25.4522672881431	25.0447780234633	2.09134128684792	2.22044604925031e-16	18.804029002798	1.28749741861189
"AKR1C1__pos"	0.528688781280453	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	68.0000911706203	0.451196193771494
"PRSS27__pos"	2.22044604925031e-16	55.2514804450599	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.381659847608304
"DAPL1__pos"	53.1063712414033	2.22044604925031e-16	14.2129296186835	2.22044604925031e-16	4.43305569881349	2.65973154204362
"UCHL1__pos"	2.22044604925031e-16	2.22044604925031e-16	30.035885587116	2.22044604925031e-16	2.22044604925031e-16	41.3215787543149
"CXCL10__pos"	2.22044604925031e-16	2.22044604925031e-16	58.0363969620399	2.22044604925031e-16	2.22044604925031e-16	1.408298104281
"TUBB2A__pos"	8.34489828924881	19.0031939616877	20.0429491178432	2.22044604925031e-16	23.7915805624681	2.70705784370091
"PRSS22__pos"	5.42412450847945	57.8335377470857	0.905854446112013	1.10407668493933	0.306469989081884	0.901902207012556
"ALDH3A1__pos"	5.05739614351729	0.000299096207599732	1.90482009431182	4.40388522299801	60.9939807636476	2.22044604925031e-16
"TMEM14A__pos"	45.6298041882935	2.22044604925031e-16	9.7131942613452	2.22044604925031e-16	10.5807156686598	5.99980112433834
"CXCL14__pos"	2.82746117635123	0.257975433719033	2.22044604925031e-16	1.58611592928424	13.5086517742778	50.1949649630318
