"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"SPRR3"	"SPRR3"	-0.316351295793147	2.21533290000893	-0.561031580882223	-0.251641670572011	-0.592295107228684	-0.583073186034483	"S01"	2.21533290000893	"IS02"
"ECM1"	"ECM1"	-0.47655741207115	2.17355845778598	-0.462347461533485	-0.351662943945002	-0.562132455987193	-0.387255928722607	"S01"	2.17355845778598	"IS02"
"PRSS22"	"PRSS22"	-0.335724324985704	2.13260418157033	-0.434061190128343	-0.355856114605202	-0.635164685763654	-0.465660803371176	"S01"	2.13260418157033	"IS02"
"TMPRSS11D"	"TMPRSS11D"	-0.352010140100859	2.12882203205528	-0.371143554991899	-0.345426983093668	-0.579133923826208	-0.579199368378709	"S01"	2.12882203205528	"IS02"
"PRSS27"	"PRSS27"	-0.456573251144521	2.12797234982894	-0.462798879436005	-0.362627509514799	-0.501440882658588	-0.437667153563455	"S01"	2.12797234982894	"IS02"
"MUC4"	"MUC4"	-0.339612142246168	2.11983899588555	-0.49050507189221	-0.340235077865904	-0.520142201224044	-0.554069495497455	"S01"	2.11983899588555	"IS02"
"LCN2"	"LCN2"	-0.389986402792976	2.11401130391227	-0.601179277140744	-0.367700907344298	-0.46232651000308	-0.432186571179192	"S01"	2.11401130391227	"IS02"
"C15orf48"	"C15orf48"	-0.222540718108022	2.11309459143523	-0.501422009887254	-0.362150062870757	-0.658269815297312	-0.503449998900431	"S01"	2.11309459143523	"IS02"
"SPRR2A"	"SPRR2A"	-0.388333788642068	2.07200388358558	-0.608677505686263	-0.285838050859523	-0.265982875128177	-0.689059778319813	"S01"	2.07200388358558	"IS02"
"IL1RN"	"IL1RN"	-0.34143406123475	2.01584992006954	-0.419547839413439	-0.235329020230833	-0.452480118115725	-0.653556230209896	"S01"	2.01584992006954	"IS02"
"EPS8L1"	"EPS8L1"	-0.45240595785988	2.00915635260607	-0.344269686704359	-0.370994183740809	-0.506781105144169	-0.410655198383157	"S01"	2.00915635260607	"IS02"
"SPRR2D"	"SPRR2D"	-0.484182894508942	2.00630918853185	-0.458035505539717	-0.254728192788193	-0.3542985767795	-0.52542938459058	"S01"	2.00630918853185	"IS02"
"CLCA4"	"CLCA4"	-0.364427089741378	1.97967263268186	-0.458011921426462	-0.326560571827088	-0.485481023032992	-0.44651057205303	"S01"	1.97967263268186	"IS02"
"TMPRSS2"	"TMPRSS2"	-0.453186677736514	1.97171538809283	-0.305295773151314	-0.384093437572358	-0.481784224834132	-0.430078630160336	"S01"	1.97171538809283	"IS02"
"FUT6"	"FUT6"	-0.296522576908202	1.96717886270913	-0.455503927060674	-0.393600090074519	-0.501823727890033	-0.468778389462589	"S01"	1.96717886270913	"IS02"
"SDCBP2"	"SDCBP2"	-0.395736557726739	1.96218140286518	-0.379485539708075	-0.27599474806708	-0.539683156892258	-0.415512468239674	"S01"	1.96218140286518	"IS02"
"TMPRSS11E"	"TMPRSS11E"	-0.505379117823333	1.95313691128368	-0.581997320425631	-0.44745571309438	-0.0669565154533973	-0.586413869518811	"S01"	1.95313691128368	"IS02"
"RHCG"	"RHCG"	-0.229237312287638	1.91767272495031	-0.47944563266384	-0.136771330569059	-0.512727297786548	-0.620650392755116	"S01"	1.91767272495031	"IS02"
"MXD1"	"MXD1"	-0.479855190077039	1.89734517814706	-0.506206305529614	-0.302491667871305	-0.205039329506892	-0.533136188147668	"S01"	1.89734517814706	"IS02"
"CYSRT1"	"CYSRT1"	-0.418943996487374	1.89082525184916	-0.4088005453974	-0.178205420386057	-0.458174282897876	-0.440443440713281	"S01"	1.89082525184916	"IS02"
"DUSP5"	"DUSP5"	-0.620097476538441	1.88659753099298	-0.305605785767976	-0.346458253827401	-0.207643236605384	-0.486759120319792	"S01"	1.88659753099298	"IS02"
"KRT80"	"KRT80"	-0.457362971450861	1.87280654336821	-0.381160423410018	-0.266832388302273	-0.430261833258728	-0.377792354999031	"S01"	1.87280654336821	"IS02"
"CEACAM1"	"CEACAM1"	-0.427771392146894	1.86875272161282	-0.351009055746262	-0.348303605486612	-0.418683174960731	-0.410945070230866	"S01"	1.86875272161282	"IS02"
"PRSS8"	"PRSS8"	-0.29262866411675	1.85943179366117	-0.26061294372666	-0.343719646091804	-0.70609126475023	-0.296465990873376	"S01"	1.85943179366117	"IS02"
"SCEL"	"SCEL"	-0.422314539159969	1.85059607820013	-0.389053241201123	-0.246902185965358	-0.428401161186261	-0.408471243365391	"S01"	1.85059607820013	"IS02"
"ADGRF1"	"ADGRF1"	-0.404631633970052	1.85020419450051	-0.36792236910633	-0.331372545732792	-0.391363927445819	-0.452558290940329	"S01"	1.85020419450051	"IS02"
"KRT78"	"KRT78"	-0.425943671435586	1.8269443545926	-0.385829113449759	-0.321838272100625	-0.388125205384958	-0.389353879919557	"S01"	1.8269443545926	"IS02"
"LIPH"	"LIPH"	-0.40898997805512	1.82646950311348	-0.38572987095887	-0.325323288125234	-0.404525650649689	-0.388796362454165	"S01"	1.82646950311348	"IS02"
"A2ML1"	"A2ML1"	-0.280584631376522	1.82384394226193	-0.380532824902026	-0.282570712140057	-0.464972559167575	-0.515264431873333	"S01"	1.82384394226193	"IS02"
