"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"PLA2G2A__pos"	2.22044604925031e-16	2.22044604925031e-16	0.657342387936895	2.22044604925031e-16	52.9576728097695	2.22044604925031e-16
"PPP1R14A__pos"	50.9433551166684	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"PTGDS__pos"	2.22044604925031e-16	1.35271683978081	51.7402628833999	2.73062585454249	2.18308242942532	2.22044604925031e-16
"SCG5__pos"	0.922236509942613	2.22044604925031e-16	1.90619603681281	10.9023698758061	1.73774350800837	24.3387812113154
"LRRC15__pos"	2.22044604925031e-16	2.22044604925031e-16	3.78506713410441e-08	15.8852018925157	2.22044604925031e-16	35.7021634879305
"FTH1__pos"	2.22044604925031e-16	5.51232755563801	0.299957354907968	39.3689806828249	3.73915650134282	1.66666071364178e-08
"CFD__pos"	2.22044604925031e-16	2.22044604925031e-16	13.2501841752442	2.18972351147042	48.457182593266	2.22044604925031e-16
"COX4I2__pos"	49.2638301789317	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"PRELP__pos"	5.06218008674369	2.22044604925031e-16	34.5249419078924	2.22044604925031e-16	26.5627480103191	0.55321383653276
"COL5A1__pos"	0.76306567119515	2.22044604925031e-16	0.531682093753796	10.4097820801013	1.13827713964773	38.2951523674177
"C12orf75__pos"	1.88027037303698	5.72906931172202	1.55355040817376	17.1984904911738	0.226109053598851	29.4459450189683
"MMP1__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	48.6989886621514	2.22044604925031e-16	2.22044604925031e-16
"MCAM__pos"	52.4530898781143	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"TNXB__pos"	0.484088172782699	2.22044604925031e-16	15.8679347673263	2.22044604925031e-16	46.2672370608549	2.22044604925031e-16
"RBP5__pos"	3.94500368109539	2.22044604925031e-16	42.6200600701376	4.52924428803014	2.22044604925031e-16	2.22044604925031e-16
"COL11A1__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	1.08648109874662	2.22044604925031e-16	41.7812591652382
