"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"PPP1R14A"	"PPP1R14A"	2.41829136681466	-0.348456085887265	-0.45575013264722	-0.486520432143535	-0.455961125808339	-0.489856356076411	"S01"	2.41829136681466	"IS01"
"MCAM"	"MCAM"	2.31424480765263	-0.280871551999095	-0.469667257995001	-0.468705187735149	-0.482301592383439	-0.435984915655045	"S01"	2.31424480765263	"IS01"
"COX4I2"	"COX4I2"	2.30479246474338	-0.325590634887142	-0.425791548874013	-0.441275533089141	-0.441765951155327	-0.491286118299824	"S01"	2.30479246474338	"IS01"
"RGS5"	"RGS5"	2.24807856511511	-0.270624293719379	-0.231325511293425	-0.438518135889863	-0.523660874153425	-0.559089952476898	"S01"	2.24807856511511	"IS01"
"NDUFA4L2"	"NDUFA4L2"	2.2330935732565	-0.237013787433758	-0.503757726828595	-0.514685235659819	-0.341338270381559	-0.431635679842752	"S01"	2.2330935732565	"IS01"
"TINAGL1"	"TINAGL1"	2.04059294569032	-0.231149964110668	-0.391134585441891	-0.420545458056522	-0.398309948110037	-0.420759861658491	"S01"	2.04059294569032	"IS01"
"ESAM"	"ESAM"	2.02507144403594	-0.294093842469417	-0.393071326846691	-0.396708087710539	-0.376044553760659	-0.414777495995057	"S01"	2.02507144403594	"IS01"
"HIGD1B"	"HIGD1B"	1.9766671563032	-0.257902787731836	-0.367173980469462	-0.399548137561466	-0.371808306314595	-0.416129826272626	"S01"	1.9766671563032	"IS01"
"GJA4"	"GJA4"	1.89669172907665	-0.218385981552584	-0.291279132743376	-0.389442736288419	-0.389509673908719	-0.427929373537498	"S01"	1.89669172907665	"IS01"
"PTP4A3"	"PTP4A3"	1.86183416197462	-0.160932842353235	-0.387416294164662	-0.371375176381229	-0.363094449461138	-0.398102225829773	"S01"	1.86183416197462	"IS01"
"MYH11"	"MYH11"	1.80620855817329	-0.193187019530407	-0.341402650665725	-0.387339964206785	-0.347197714207213	-0.371414352361409	"S01"	1.80620855817329	"IS01"
