"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"KIT"	"KIT"	0.470789064669281	-0.0472438975965713	-1.19018830732958	1.03952933769499	-0.418007203788607	-0.409686673726802	"S01"	1.03952933769499	"IS04"
"HS3ST1"	"HS3ST1"	-0.0192143597869365	-0.173375176105287	-0.606697818066422	1.0269602840288	-0.135875991663361	-0.581772900438141	"S01"	1.0269602840288	"IS04"
"POLD4"	"POLD4"	0.0648011150663607	-0.163208079067513	-0.35013202955349	0.815886557454523	0.0646059626765192	-0.824406213118572	"S01"	0.815886557454523	"IS04"
"CD69"	"CD69"	0.0793450169208159	-0.333363230760616	-1.24072901060597	0.779279338429707	-0.0564444915358956	0.016710810065541	"S01"	0.779279338429707	"IS04"
"LAT"	"LAT"	0.490125544261782	-0.195424841656239	-1.11180718450996	0.768467504031017	0.508332998686625	-1.22080665443202	"S01"	0.768467504031017	"IS04"
"GRAP2"	"GRAP2"	-0.0946561813712223	-0.367169687245034	-0.821964203158973	0.764470802790044	-0.182250526911284	0.10733044014399	"S01"	0.764470802790044	"IS04"
"MS4A2"	"MS4A2"	0.470462279434181	-0.221322672493647	-1.97076044670478	0.756185360994049	-0.0136978206602925	0.0251802516352615	"S01"	0.756185360994049	"IS04"
"AREG"	"AREG"	0.118925331932787	0.111300325685242	-0.697402970627236	0.730937285570202	0.0288293740904791	-0.650415466415985	"S01"	0.730937285570202	"IS04"
"IFITM2"	"IFITM2"	-0.195725901723955	0.259670451961787	-1.3839825380007	0.730412936774988	0.103909474341642	-0.0787933459199745	"S01"	0.730412936774988	"IS04"
"IL9R"	"IL9R"	0.00395171347074273	-0.250146161870656	-0.612452165284024	0.708454695781942	0.0230768872556061	-0.369927500745396	"S01"	0.708454695781942	"IS04"
"ZBTB20"	"ZBTB20"	0.100646093140463	-0.00417409119125486	-0.492033319896915	0.699181512799582	-0.283960160603823	-0.276888679009705	"S01"	0.699181512799582	"IS04"
"IL1RL1"	"IL1RL1"	0.212387614681551	-0.517591385172294	-1.42071497485485	0.676337823650118	0.0846334917991212	0.0512631043577288	"S01"	0.676337823650118	"IS04"
"ADCYAP1"	"ADCYAP1"	-0.07762100864569	-0.0911195146604699	-0.514365367501391	0.664728875404153	-0.0378666306178685	-0.30926240111104	"S01"	0.664728875404153	"IS04"
"PROM1"	"PROM1"	-0.143859179111486	-0.373596585898709	-0.440025224869308	0.660092627917039	-0.194676273574235	0.0555118539194945	"S01"	0.660092627917039	"IS04"
"RAC2"	"RAC2"	0.330657088573029	0.0230242931286634	-2.30224199027943	0.65866315003319	0.361158813850362	-0.103309300745091	"S01"	0.65866315003319	"IS04"
"TFB1M"	"TFB1M"	-0.0789882671462251	-0.24459771930301	-0.242238501204594	0.658543875349457	-0.17041135327176	-0.22961718571833	"S01"	0.658543875349457	"IS04"
"BEX4"	"BEX4"	0.0133993371016006	-0.406873326084705	-0.841716672423579	0.652977653703558	-0.157222693881547	0.141633985348624	"S01"	0.652977653703558	"IS04"
"ARHGDIB"	"ARHGDIB"	0.322906312865268	-0.205589174792399	-2.16584942988203	0.641763053532799	0.0103210586141628	0.392973002282639	"S01"	0.641763053532799	"IS04"
"TESPA1"	"TESPA1"	0.0750604451872706	-0.280605838949176	-0.767937229569918	0.635755347041313	-0.100638840052654	-0.0805506848239456	"S01"	0.635755347041313	"IS04"
"HOXB2"	"HOXB2"	-0.248428821492212	0.0863076811202935	-0.36258264392754	0.634748931670278	-0.126821933386648	-0.188949774851353	"S01"	0.634748931670278	"IS04"
"SLC45A3"	"SLC45A3"	-0.0692179993276262	-0.153345782258139	-0.830736350340741	0.624553226668908	-0.0420587842801744	-0.0277697818104695	"S01"	0.624553226668908	"IS04"
"LTC4S"	"LTC4S"	0.415380086349636	-0.223924801662437	-2.04352873336694	0.621904945495775	0.0558083829646948	0.203103772799692	"S01"	0.621904945495775	"IS04"
"P2RX1"	"P2RX1"	0.221359482153245	-0.229340298297438	-0.701569853770476	0.620734284947005	0.0459009466981727	-0.454158014862101	"S01"	0.620734284947005	"IS04"
"ARHGEF6"	"ARHGEF6"	0.34229285857907	-0.187685744184579	-0.923318829222618	0.611787643826696	0.0340047947923305	-0.424405046742888	"S01"	0.611787643826696	"IS04"
"ALS2"	"ALS2"	0.0190609460580227	-0.208148566559059	-0.401581727409572	0.608778783445797	-0.0164786056291055	-0.371357385110591	"S01"	0.608778783445797	"IS04"
"MAG"	"MAG"	0.0757988661539737	-0.0245742055945053	-0.261559436327942	0.599574357186845	-0.271237210606697	-0.284684165465658	"S01"	0.599574357186845	"IS04"
"ZFP36"	"ZFP36"	0.199908725754404	-0.0854292592206703	0.1069531603553	0.597042757546928	0.282327568003361	-1.29212444755326	"S01"	0.597042757546928	"IS04"
"KIAA1522"	"KIAA1522"	-0.0953396737686257	-0.0289687088486578	-0.0893970711656418	0.596768153285022	-0.161344283792518	-0.361390309762795	"S01"	0.596768153285022	"IS04"
"HPGD"	"HPGD"	-0.0854033544982468	-0.0633244569243572	-1.37834162093113	0.592415090273459	-0.0495691445219527	0.33983278632723	"S01"	0.592415090273459	"IS04"
"TXNIP"	"TXNIP"	-0.101287659715613	-0.0781627017075442	-0.55698627216897	0.592374476434904	0.173372286902837	-0.440253297230969	"S01"	0.592374476434904	"IS04"
"FCER1G"	"FCER1G"	0.324494989217715	-0.215614087896029	-2.00843802423183	0.58907307437532	0.152493288073266	0.183423274826892	"S01"	0.58907307437532	"IS04"
"RASA2"	"RASA2"	0.0640996519495346	-0.186299865033474	-0.346145640455569	0.583775906622439	-0.0928988836524706	-0.336356541635292	"S01"	0.583775906622439	"IS04"
