"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"DDX3Y"	"DDX3Y"	1.22289868401441	0.0694207263583676	-0.554462012180381	-0.0555557087895531	-0.642884648879754	0.0102187128315881	"IS01"	1.22289868401441
"KDM6B"	"KDM6B"	1.11026014518065	-0.40981855842139	-0.195769074093306	-0.886854276398063	0.574595682046102	-0.359842050969042	"IS01"	1.11026014518065
"NFKBID"	"NFKBID"	1.0706521401911	-0.382570294836634	-0.625520142178887	-0.485767527475971	0.523456995139422	-0.48498142300593	"IS01"	1.0706521401911
"RBBP8"	"RBBP8"	0.973594116234213	-0.37448252767245	-0.341791170157375	-0.586497906720837	0.434473137864665	-0.344936700685007	"IS01"	0.973594116234213
"REL"	"REL"	0.941628276565766	-0.0905824461863108	-0.483395191306917	-0.549687890244628	0.519815541744504	-0.523463583934213	"IS01"	0.941628276565766
"CDC42EP3"	"CDC42EP3"	0.921619030266424	-0.178899491271288	-0.694969595677854	-0.5301867533079	0.593274640498087	-0.437103808645915	"IS01"	0.921619030266424
"MAP3K8"	"MAP3K8"	0.9178379802957	-0.158851294689831	-0.128682836933169	-0.573373874118553	0.0796992147665122	-0.116949975082075	"IS01"	0.9178379802957
"CSRNP1"	"CSRNP1"	0.884566843552917	-0.418541506693554	-0.44526076892332	-0.577327280066739	0.469626981736336	-0.224754666967531	"IS01"	0.884566843552917
"CDKN1A"	"CDKN1A"	0.873016318548331	-0.379506414860304	0.4247208045623	-0.991937301689773	0.565507860557361	-0.406605280280329	"IS01"	0.873016318548331
"TIMP3"	"TIMP3"	0.864201126674446	-0.375728879797186	-0.469760245067315	0.215215984850486	-0.134495548907431	-0.425938498012648	"IS01"	0.864201126674446
"BCL2A1"	"BCL2A1"	0.859469437425158	-0.159852455879194	-0.149366414161554	-0.676846144842931	0.0936406967865894	0.0614099221445449	"IS01"	0.859469437425158
"NFKBIZ"	"NFKBIZ"	0.84399216637845	-0.265787683740738	-0.332183688405266	-0.394025032178642	0.757399272664485	-0.918726591740388	"IS01"	0.84399216637845
"CTSD"	"CTSD"	0.822112360910797	-0.126566975309925	-0.503235057658239	-1.1569839407592	0.64799301873036	0.202377371307983	"IS01"	0.822112360910797
"ICAM1"	"ICAM1"	0.814146248841917	-0.26104079907464	0.255704553711277	-0.839044094541603	0.519573895803322	-0.432956920704947	"IS01"	0.814146248841917
"EEF1A1"	"EEF1A1"	0.792255657534379	-0.675500934226332	-0.93920277435527	0.381179529948704	0.0540884493544423	-0.334263235867512	"IS01"	0.792255657534379
"BIRC3"	"BIRC3"	0.788498864106233	-0.203510502089449	-0.752424083514946	-0.645626358813914	-0.0403848400174438	0.667445063751117	"IS01"	0.788498864106233
"CRLF2"	"CRLF2"	0.769969823157835	-0.183415236666204	-0.430403996530742	-0.183278040440026	0.118593321885822	-0.291345988447919	"IS01"	0.769969823157835
"TIPARP"	"TIPARP"	0.756097510068111	-0.556211632564524	0.122828246073163	-0.826522618063226	0.296626042322793	0.124676502891864	"IS01"	0.756097510068111
"RELB"	"RELB"	0.753512726941367	-0.297965586252231	-0.194800014282908	-0.642104027544277	0.520862981838801	-0.307672291984617	"IS01"	0.753512726941367
"ITGAV"	"ITGAV"	0.752030694930545	-0.439498116761616	-0.203181218549497	-0.255360198745914	0.200024101353839	-0.29852605307767	"IS01"	0.752030694930545
"SIGLEC6"	"SIGLEC6"	0.726818965901117	-0.480411572694728	-0.588535493052125	0.357740481791941	0.160939613870391	-0.70290374812539	"IS01"	0.726818965901117
"LMNA"	"LMNA"	0.716285723201019	-0.640207815147386	-0.509248447977593	-1.14925255044909	0.545671081250945	0.695541525142289	"IS01"	0.716285723201019
"TMEM233"	"TMEM233"	0.703244323789713	0.0225451092510554	-0.47252841451708	-0.289514970137687	-0.208769873619713	0.226984139914089	"IS01"	0.703244323789713
"MAPK6"	"MAPK6"	0.681848684795957	-0.369623141024183	-0.512356595068802	-0.54310966294327	0.342773698664438	0.103032808914252	"IS01"	0.681848684795957
"STX11"	"STX11"	0.675280524244281	-0.317589048060589	-0.524434783991189	-0.789542022609247	0.381528867261908	0.341306964320911	"IS01"	0.675280524244281
"PSAP"	"PSAP"	0.675184557815881	-0.337074021711644	-0.420850527571193	-0.489446011192379	0.160362836418406	0.194832521249896	"IS01"	0.675184557815881
"RARA"	"RARA"	0.672150872976088	-0.377388163733825	-0.671756082750227	-0.361127643137512	0.322378828370967	0.0225981686725733	"IS01"	0.672150872976088
"PNPLA8"	"PNPLA8"	0.670840965834892	-0.269283793143032	-0.286391024859531	-0.419404702982963	0.231238545568348	-0.09598248182769	"IS01"	0.670840965834892
"BRAF"	"BRAF"	0.670215739231858	-0.235795561832278	-0.174331453561427	-0.192912458142781	0.0638489711832743	-0.252477016910425	"IS01"	0.670215739231858
"FTH1"	"FTH1"	0.668721104451077	0.0962104014115698	-0.503233159594909	-0.789800877110973	0.429775540780931	0.0568579036535116	"IS01"	0.668721104451077
"FOSB"	"FOSB"	0.668704103559622	-0.582734849066358	-0.0272624586842891	-0.46278265187988	0.423635564900084	-0.281272615689838	"IS01"	0.668704103559622
"ITM2C"	"ITM2C"	0.668659218718667	-0.225381517410225	-1.24378475172768	0.207091386011799	0.285331540017762	-0.332374044911705	"IS01"	0.668659218718667
"IDS"	"IDS"	0.666349439549137	-0.0980988022415148	-0.875113977953167	0.236099426217071	0.178595244861905	-0.536169135116523	"IS01"	0.666349439549137
"PROCR"	"PROCR"	0.664838095793189	-0.0934442303193697	-0.447276186942309	-0.0654718570201722	-0.00486035137079565	-0.216914215537869	"IS01"	0.664838095793189
"MLPH"	"MLPH"	0.65775332968938	-0.23546076807455	-0.813275076208727	0.308036856029095	0.0720946692913731	-0.450608028968302	"IS01"	0.65775332968938
"SYAP1"	"SYAP1"	0.653879675213262	-0.471420706761131	-0.560048074353288	-0.371490221144685	0.261058908686144	0.106706372460761	"IS01"	0.653879675213262
"NR4A3"	"NR4A3"	0.64764533274417	-0.232288574312093	-0.455605417891513	-0.216994628814741	0.133859028223397	-0.10998245192609	"IS01"	0.64764533274417
"NEK1"	"NEK1"	0.645931980578356	-0.173831573572191	-0.216138911297594	0.0751689046699322	-0.0764419821087005	-0.386821398254278	"IS01"	0.645931980578356
"RAB27B"	"RAB27B"	0.642210498717658	-0.251617247012174	-0.793199403700937	-0.0434523673824229	0.280613623029982	-0.271436477827109	"IS01"	0.642210498717658
"SCIN"	"SCIN"	0.640476183730347	0.0464519604965034	-0.370597039173089	0.0771982901007387	-0.137561954626852	-0.325010731605078	"IS01"	0.640476183730347
"PTGS2"	"PTGS2"	0.63982731599839	-0.195036634224304	-0.63025125558821	0.0382694784481646	-0.220173554656886	0.11890716535006	"IS01"	0.63982731599839
"SLC2A3"	"SLC2A3"	0.638795150327425	-0.443616349667168	-1.18271453582683	0.0309098787243826	0.490217056115217	-0.268156397823329	"IS01"	0.638795150327425
"PDCD4"	"PDCD4"	0.632097319235787	-0.274673287057542	-0.385932703847998	-0.323426862913986	0.211884574916653	-0.0848419254604168	"IS01"	0.632097319235787
"NFKBIA"	"NFKBIA"	0.62957513863155	0.0659938247601886	0.377697200767561	-0.410639576835137	0.271986856078054	-0.719544305200452	"IS01"	0.62957513863155
"BHLHE40"	"BHLHE40"	0.628135396911982	-0.168499364972512	-0.212268246884954	-0.107256307181456	0.292084456444858	-0.610621078587182	"IS01"	0.628135396911982
"RALGAPA1"	"RALGAPA1"	0.623408750154861	-0.0702474378302887	-0.393464887619627	-0.0336129095386029	-0.0625072444802911	-0.1910078225269	"IS01"	0.623408750154861
"BACE2"	"BACE2"	0.616623857855798	-0.201792331812719	-0.521630932773646	0.0021245251686845	0.188450107747423	-0.388153132490988	"IS01"	0.616623857855798
"ADRB2"	"ADRB2"	0.61580240920012	-0.310854763737669	-0.117600327256697	-0.0605862183980113	0.0113435455410889	-0.292873092723803	"IS01"	0.61580240920012
"EMD"	"EMD"	0.612481825454009	0.0882857726741628	-0.334746031340082	-0.238758865369003	0.373900629735506	-0.593745737089914	"IS01"	0.612481825454009
"COL13A1"	"COL13A1"	0.610800346614896	-0.155908063472229	-0.312751608647531	0.26405337613778	-0.35318135861181	-0.186775899608609	"IS01"	0.610800346614896
"NFKB1"	"NFKB1"	0.610314199770632	-0.189597427706761	-0.389886110661851	-0.650161336479848	0.196936312601563	0.309780667171781	"IS01"	0.610314199770632
"PPP1R10"	"PPP1R10"	0.609310821026696	-0.330517376883203	-0.172570192936029	-0.12315755863027	0.182376059683537	-0.377277488101162	"IS01"	0.609310821026696
"SKIL"	"SKIL"	0.608381846168974	-0.4737116243384	-0.569851034166502	-0.363540009745508	0.160685344039903	0.27280830381093	"IS01"	0.608381846168974
"TNFRSF9"	"TNFRSF9"	0.607098235650988	-0.363951934867222	-0.699240440833261	-0.656322654670206	0.373408004512095	0.391265959067773	"IS01"	0.607098235650988
"NR4A2"	"NR4A2"	0.605790442694178	-0.436834102572464	-0.719212413400376	-0.371373452438635	0.407603187039392	0.054663828559458	"IS01"	0.605790442694178
"SLCO2B1"	"SLCO2B1"	0.604585804009832	0.221294069734026	-0.331666790370698	-0.133204006654579	0.027034407846847	-0.355875170309969	"IS01"	0.604585804009832
"GALNT6"	"GALNT6"	0.603103911624403	-0.281017543520807	-0.737461399686141	-0.00795914121171443	-0.163343637703439	0.253773001198681	"IS01"	0.603103911624403
"AKAP13"	"AKAP13"	0.598526710726535	-0.218459746258167	-1.04147253888119	0.208828321564442	0.389385245518892	-0.529619412288818	"IS01"	0.598526710726535
"MAGI2"	"MAGI2"	0.598475265573964	-0.164312549031314	-0.0433766719999898	-0.101682344796592	-0.123935679958382	-0.182962121502013	"IS01"	0.598475265573964
"RANBP2"	"RANBP2"	0.59625049258469	-0.184865394155608	-0.263367836109767	-0.278098094265364	0.162462019990136	-0.169979204012084	"IS01"	0.59625049258469
"DUSP14"	"DUSP14"	0.595878131452843	-0.335867014015234	0.0420332161558511	-0.52552026652979	0.0505518013433271	0.153842945229799	"IS01"	0.595878131452843
"NFE2L2"	"NFE2L2"	0.595620879753294	-0.376519505410771	0.489592834895623	-1.1133668514608	0.425663409886724	0.137868022890582	"IS01"	0.595620879753294
"PDE4A"	"PDE4A"	0.59226260188997	0.0600704399153758	-0.615160765488864	-0.355163701791523	0.167945686365016	0.0174555021471775	"IS01"	0.59226260188997
"IL4R"	"IL4R"	0.591249823821135	-0.405393781523689	-0.504322290669826	0.164784239653144	-0.0560247786493379	-0.162170670872315	"IS01"	0.591249823821135
"CD83"	"CD83"	0.580986749866784	-0.428276620966399	0.298345041130005	-0.797682383026458	0.44481136484351	-0.105965904086887	"IS01"	0.580986749866784
"PMEPA1"	"PMEPA1"	0.579538476262657	-0.369944581669893	-0.338378631859249	-0.426237081923984	0.280408632005444	0.0252122488924837	"IS01"	0.579538476262657
"STK17B"	"STK17B"	0.57859988869504	-0.29389379988637	-0.785401409982301	-0.139347620482619	0.107357123636289	0.13856138173035	"IS01"	0.57859988869504
"CLCN3"	"CLCN3"	0.573611288816283	-0.319459144367586	-0.695599637238116	0.151400284765721	0.212404746842958	-0.384748253235682	"IS01"	0.573611288816283
"GNPTAB"	"GNPTAB"	0.572810096381674	-0.0275661695868297	-0.580476515589944	0.304217487511806	-0.111904038283012	-0.394527738732089	"IS01"	0.572810096381674
"PPP1R15B"	"PPP1R15B"	0.572750769388824	-0.245298647486288	-0.240844533886774	-0.235087988991553	0.334083429063889	-0.395415277724888	"IS01"	0.572750769388824
"B4GALT5"	"B4GALT5"	0.572055331655652	-0.163124451035853	-0.598534061203877	-0.413879384646739	0.309719456440912	0.0389825919551877	"IS01"	0.572055331655652
"HBD"	"HBD"	0.570704314804569	-0.023239840957829	-0.117950397423864	-0.107716690940229	-0.151125544279183	-0.141586949361739	"IS01"	0.570704314804569
"YWHAZ"	"YWHAZ"	0.568702077626629	-0.29196417897026	0.00401592560478002	-0.365714468678126	0.451802470800347	-0.511201439498971	"IS01"	0.568702077626629
"TUBB4B"	"TUBB4B"	0.5681903038539	-0.387785168632747	0.55950749521019	-0.750875494144925	0.368072158160971	-0.244028615180671	"IS01"	0.5681903038539
"DUSP6"	"DUSP6"	0.567187229387149	-0.442053713825937	-0.740367147146799	-0.0164654502623069	0.0353264734060459	0.138532446512694	"IS01"	0.567187229387149
"LCN6"	"LCN6"	0.564978169791526	0.0471885031631288	-0.146432421602588	-0.12151355180143	-0.133972854860624	-0.159378657204251	"IS01"	0.564978169791526
"VEGFA"	"VEGFA"	0.563668878479854	-0.213408103668769	0.0169326784401236	-0.335599231437331	0.128098221873051	-0.190760040536145	"IS01"	0.563668878479854
"GATA2"	"GATA2"	0.562839954523654	-0.547566823104229	-1.73922452680338	0.110066140964821	0.448556250474795	0.171582771152549	"IS01"	0.562839954523654
"RASSF5"	"RASSF5"	0.562619733831063	-0.112413052817445	-0.848554909579761	-0.265051718515246	0.0219975194251264	0.3577883108009	"IS01"	0.562619733831063
"PDE8A"	"PDE8A"	0.556974201080504	-0.221338649604213	-0.232491954840986	-0.194561105448436	0.227239604950565	-0.314878076049735	"IS01"	0.556974201080504
"DENND4A"	"DENND4A"	0.556610776265822	-0.237332668824641	-0.266972014458905	-0.289527703220429	0.240457473220264	-0.184934892865075	"IS01"	0.556610776265822
"EMP3"	"EMP3"	0.553498774953656	0.19652864679685	-1.5034986767977	-0.0301651102391401	0.342422030724223	-0.0595120577640427	"IS01"	0.553498774953656
"MITF"	"MITF"	0.551521544071071	-0.155529589365748	-0.764937785888162	0.0490869731903786	0.110378219235296	-0.15421934052403	"IS01"	0.551521544071071
"INSIG1"	"INSIG1"	0.548999597135946	-0.124454949271906	-0.245081043924719	-0.817107162463106	0.478755739623249	0.0947913618022019	"IS01"	0.548999597135946
"OPHN1"	"OPHN1"	0.545164970218554	-0.138851796920729	-0.190244199056676	-0.0125260761346443	-0.0765611390692554	-0.218257428632368	"IS01"	0.545164970218554
"ARL5B"	"ARL5B"	0.544143025765751	-0.232165634156103	0.270885482020784	-0.235992029510031	-0.0761236007555487	-0.192552090366481	"IS01"	0.544143025765751
"PLPP1"	"PLPP1"	0.543005462781762	-0.343125854718613	-0.70584218656193	0.130099358325686	-0.049469958854134	0.0146221141210502	"IS01"	0.543005462781762
"CLU"	"CLU"	0.540932802421173	-0.500775093557671	-1.56417936211915	0.0779103157230454	0.448998370709488	0.0943754097634549	"IS01"	0.540932802421173
"SERTAD1"	"SERTAD1"	0.540564961863038	-0.251310822330026	0.151343917459421	-0.538584996207376	0.177452718595412	-0.049204046243275	"IS01"	0.540564961863038
"OSM"	"OSM"	0.539586208316598	-0.194266314050607	-0.399350611350962	-0.173751485729012	-0.0419896610847096	0.103421766216222	"IS01"	0.539586208316598
"RGS13"	"RGS13"	0.538341400539256	-0.168180615276995	-0.900662356836125	0.181219830488142	-0.32466045041197	0.331409607424767	"IS01"	0.538341400539256
"TSC22D2"	"TSC22D2"	0.536353952971924	-0.254719172066668	-0.122199537552556	-0.179139264277583	0.0422272521154441	-0.13731531334375	"IS01"	0.536353952971924
"VPS37B"	"VPS37B"	0.536333543776162	-0.317550070009943	-0.322448285800876	-0.473213064743284	0.189353024902587	0.199094836798915	"IS01"	0.536333543776162
"PAK1"	"PAK1"	0.535121642672727	-0.293397709233324	-0.661859085511145	-0.223436805106783	0.484298366177494	-0.264774070926157	"IS01"	0.535121642672727
