"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"NAPSA"	"NAPSA"	-0.443429491747364	-0.427987094717925	-0.46432307600825	1.33816832526791	"S01"	1.33816832526791	"IS04"
"PPA1"	"PPA1"	-0.236662916411396	-0.539504210753066	-0.417064457154239	1.18151413740874	"S01"	1.18151413740874	"IS04"
"PKIB"	"PKIB"	-0.362168211914662	-0.377520579522247	-0.331366154867162	1.07296483705311	"S01"	1.07296483705311	"IS04"
"CST7"	"CST7"	-0.455528819013165	-0.192190765350791	-0.363433482699598	1.02363430715924	"S01"	1.02363430715924	"IS04"
"CD1C"	"CD1C"	-0.380996112700868	-0.319812493128368	-0.309433785224065	1.01543604403872	"S01"	1.01543604403872	"IS04"
"ACTB"	"ACTB"	-0.438503520314796	-0.204557509005688	-0.36029229741567	1.01455362534714	"S01"	1.01455362534714	"IS04"
"PPP1R14A"	"PPP1R14A"	-0.360304626138292	-0.326138880377212	-0.321037379617905	1.01113159889313	"S01"	1.01113159889313	"IS04"
"JAML"	"JAML"	-0.356744047431379	-0.330888549455184	-0.260978327742988	0.952955923144535	"S01"	0.952955923144535	"IS04"
"NDRG2"	"NDRG2"	-0.286054028695161	-0.420692562791761	-0.245094430854359	0.949671662980061	"S01"	0.949671662980061	"IS04"
"CD1E"	"CD1E"	-0.328890594838456	-0.317685659438222	-0.297967929030571	0.947144088854261	"S01"	0.947144088854261	"IS04"
"LGALS2"	"LGALS2"	0.0532314738801407	-0.310176830186016	-0.694095042363983	0.926012243626327	"S01"	0.926012243626327	"IS04"
"CD1A"	"CD1A"	-0.356924999168598	-0.257739542007364	-0.2823963743096	0.90341217753197	"S01"	0.90341217753197	"IS04"
"MARCKSL1"	"MARCKSL1"	-0.497891852244133	-0.315045055445301	-0.0630297606899943	0.892016819348036	"S01"	0.892016819348036	"IS04"
"CKLF"	"CKLF"	-0.201857335301297	-0.179366068568294	-0.482330916256777	0.860452048987446	"S01"	0.860452048987446	"IS04"
"GNAO1"	"GNAO1"	-0.304971117463605	-0.269621328146763	-0.262429070682639	0.840481500548929	"S01"	0.840481500548929	"IS04"
"HLA-DPB1"	"HLA-DPB1"	0.279987407980994	-0.731836348856048	-0.434881503408637	0.840099241662255	"S01"	0.840099241662255	"IS04"
"PAK1"	"PAK1"	-0.0894156097616514	-0.559259459179778	-0.199621355594204	0.831630359916959	"S01"	0.831630359916959	"IS04"
"CLEC10A"	"CLEC10A"	-0.244644923920383	-0.374419220880899	-0.19623873031378	0.813206405134542	"S01"	0.813206405134542	"IS04"
"LSP1"	"LSP1"	-0.604918450048385	-0.146903814187162	-0.0275462207524909	0.807357849367207	"S01"	0.807357849367207	"IS04"
