"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"
"TRMT6"	"TRMT6"	1.02952093264489	-0.363039970363927	-0.0966748067838687	-0.0326037397118497	-0.27068283713473	"IS01"	1.02952093264489
"THBS1"	"THBS1"	1.00686030805631	-0.391072243594762	-0.358229068871301	0.117860420347301	-0.15864337282808	"IS01"	1.00686030805631
"ACSL1"	"ACSL1"	0.990541061571913	-0.616439281164118	-0.548687821869476	0.134223312462764	0.172992764272745	"IS01"	0.990541061571913
"CD300E"	"CD300E"	0.97066410751764	-0.718367042508935	0.18101625487812	-0.175046328741806	-0.00811913614150023	"IS01"	0.97066410751764
"ADAM19"	"ADAM19"	0.964718707808683	-0.433585369966755	0.260065021922627	-0.462701059814133	-0.0963429292122843	"IS01"	0.964718707808683
"ITGAX"	"ITGAX"	0.953045133860753	-0.72214402717406	0.216116356763852	-0.389474685363635	0.142107924160811	"IS01"	0.953045133860753
"NLRP3"	"NLRP3"	0.945636865124166	-0.828272501899102	-0.273034805694846	-0.0828387425760398	0.356934559605656	"IS01"	0.945636865124166
"AREG"	"AREG"	0.933881694927771	-0.438751636479598	-0.468903327633506	0.145314494583761	-0.0105842856897611	"IS01"	0.933881694927771
"FPR2"	"FPR2"	0.933263822552372	-0.314696405886183	0.137941588223127	0.000158354701816665	-0.439397653155297	"IS01"	0.933263822552372
"APOBEC3A"	"APOBEC3A"	0.911776822283544	-0.40271762930761	-0.388664841336759	-0.0761017599520511	0.0808961713449347	"IS01"	0.911776822283544
"HIF1A"	"HIF1A"	0.853746462424528	-0.699276629666684	0.513936673670242	-0.558041170361143	0.103468993207712	"IS01"	0.853746462424528
"ACSL3"	"ACSL3"	0.843115191724743	-0.356592315180063	-0.00163983977640495	-0.252671698182681	-0.0555423107128936	"IS01"	0.843115191724743
"CTSL"	"CTSL"	0.841203287154723	-0.832897548823417	0.245588138119527	-0.87514516632681	0.655475027400409	"IS01"	0.841203287154723
"IL1RAP"	"IL1RAP"	0.829417682820803	-0.353461521564176	0.116331004781178	-0.0775129517204454	-0.263125480400371	"IS01"	0.829417682820803
"IVNS1ABP"	"IVNS1ABP"	0.811113306994575	-0.638344264748226	0.560879453654066	-0.209576238494922	-0.215034042810636	"IS01"	0.811113306994575
"SAT1"	"SAT1"	0.810706854137071	-0.519392909102759	0.463798793534188	-0.047417498944322	-0.372082305431162	"IS01"	0.810706854137071
"CHRNE"	"CHRNE"	0.800233751092217	-0.318546174605131	-0.0590650886381514	-0.189922240275414	-0.0669141828265317	"IS01"	0.800233751092217
"SLC2A3"	"SLC2A3"	0.788659289357597	-0.443862575406226	0.414142560845572	-0.141586680507711	-0.318730696506837	"IS01"	0.788659289357597
"IL4R"	"IL4R"	0.777736152094211	-0.393030880478414	0.00404965315109694	-0.131564526270466	-0.074406543319977	"IS01"	0.777736152094211
"SRGN"	"SRGN"	0.766094435954234	-0.983732733662678	-0.00560597795286394	-0.395540221899245	0.657690703232601	"IS01"	0.766094435954234
"MAP3K8"	"MAP3K8"	0.75553449170511	-0.674255528069408	-0.340706324180766	-0.16570298831507	0.456909156304787	"IS01"	0.75553449170511
"HBEGF"	"HBEGF"	0.752033115400738	-0.465859265703864	0.606518298584313	-0.368391189830997	-0.241569878133388	"IS01"	0.752033115400738
"CD93"	"CD93"	0.749391268188467	-0.513506705910907	0.34553671739092	0.0060008921185963	-0.292990101405902	"IS01"	0.749391268188467
"RNF19B"	"RNF19B"	0.748488223330148	-0.623470442925266	0.0288138979190909	-0.3056829113428	0.260529290432456	"IS01"	0.748488223330148
"THBD"	"THBD"	0.746839459587958	-0.511333534687611	0.480043804629992	-0.187767031988639	-0.243559000750285	"IS01"	0.746839459587958
"ANPEP"	"ANPEP"	0.741423677943279	-0.677494703856856	0.503855688991605	-0.452150664458534	0.0869227786470424	"IS01"	0.741423677943279
"PPIF"	"PPIF"	0.738971431831324	-0.817466105181161	0.48520953862045	-0.75818371503457	0.453384999225849	"IS01"	0.738971431831324
"ADM"	"ADM"	0.727371733939953	-0.358667652694893	-0.111427312735472	0.294613493611303	-0.307738937910854	"IS01"	0.727371733939953
"TREM1"	"TREM1"	0.72382187739525	-0.578090619774732	0.457035521733174	-0.401448067293986	0.0062014929637174	"IS01"	0.72382187739525
