"IS01"	"IS02"	"IS03"	"IS04"
"RPS17__pos"	120.964486314342	3.86640193454238	45.0966550630021	2.22044604925031e-16
"NR4A1__pos"	8.45946299159944	22.2175181019907	120.491186079586	2.22044604925031e-16
"RPL41__pos"	16.0212582228448	3.8022847926966	2.22044604925031e-16	95.1787176376974
"XBP1__pos"	20.432874707397	2.22044604925031e-16	14.0558669185543	70.1542934555923
"RPL27A__pos"	105.641412433494	12.1290926444446	10.9956375861585	9.25420787535425
"SQSTM1__pos"	17.2900541346806	11.5903590202134	103.910368389805	2.22044604925031e-16
"SSR4__pos"	7.33062658207503	2.22044604925031e-16	47.0999554051321	49.6737276382366
"RPL18A__pos"	25.2290980657623	12.7612321368959	2.22044604925031e-16	71.307554959536
"NDUFC2__pos"	127.120818705983	2.22044604925031e-16	2.22044604925031e-16	27.7970080148089
"EZR__pos"	31.0122292485758	26.2688824160694	93.7310635184808	2.22044604925031e-16
"SEC11C__pos"	4.64261808005492	2.22044604925031e-16	15.1495242940338	73.9544047703852
"MT-ND4L__pos"	2.22044604925031e-16	17.0778447730654	29.0857197567885	65.3601477623164
"RPL21__pos"	85.9878480698338	8.48351714864093	40.9086350770728	2.22044604925031e-16
"UBC__pos"	7.73886436116601	3.95619553456405	102.039993134206	0.709596899501166
"PRDX4__pos"	13.2301491285187	2.22044604925031e-16	34.35517995848	53.3594576624606
"FAU__pos"	3.16338549829978	23.6379269976737	10.7471034736945	63.5322976181412
"NDUFA13__pos"	109.12712011818	17.2259804460859	13.1099632075833	29.0289677338878
"CDKN1A__pos"	24.5356230458626	18.5467836756626	102.89446310663	4.84772221729431
"DERL3__pos"	12.7915375701957	2.22044604925031e-16	27.9787397287303	61.6280600471626
"SUB1__pos"	30.2411829798698	2.72061121520888	8.11665662142748	62.0422078835613
"PDE4B__pos"	23.1419731463327	23.8663472511587	102.65655073583	5.03603861325999
"ECH1__pos"	117.235409431804	7.38283216442089	11.8059169392241	14.0731042188617
"SPAG4__pos"	17.5126312491113	0.41416622709446	55.5625738504636	62.7550425350572
"RPL29__pos"	2.22044604925031e-16	15.7370321429296	7.90113385595963	72.39140370731
"PPP1R15A__pos"	29.8770640982924	24.5105035996376	85.5923141167837	2.22044604925031e-16
"VKORC1__pos"	104.226613703451	2.35636271845324	16.8720018295867	27.4148889109515
"FTL__pos"	22.0229192182996	2.22044604925031e-16	27.9056867085838	63.5074271987098
